Coverage	Frequency	Reads
998	2	257888227
999	1	257889226
1000	2	257891226
1001	2	257893228
1002	3	257896234
1003	5	257901249
1004	4	257905265
1005	5	257910290
1006	3	257913308
1007	2	257915322
1008	2	257917338
1009	3	257920365
1010	4	257924405
1011	3	257927438
1012	4	257931486
1013	1	257932499
1014	3	257935541
1015	5	257940616
1016	1	257941632
1017	2	257943666
1018	1	257944684
1019	3	257947741
1020	1	257948761
1021	6	257954887
1022	3	257957953
1023	3	257961022
1024	1	257962046
1025	4	257966146
1026	5	257971276
1027	5	257976411
1030	2	257978471
1031	2	257980533
1032	1	257981565
1033	2	257983631
1034	3	257986733
1035	2	257988803
1036	1	257989839
1037	4	257993987
1038	2	257996063
1040	2	257998143
1041	4	258002307
1042	4	258006475
1043	3	258009604
1044	2	258011692
1045	3	258014827
1048	3	258017971
1049	1	258019020
1050	3	258022170
1052	1	258023222
1053	1	258024275
1054	1	258025329
1055	1	258026384
1056	3	258029552
1057	1	258030609
1058	2	258032725
1061	1	258033786
1063	1	258034849
1064	2	258036977
1065	3	258040172
1066	1	258041238
1067	2	258043372
1068	2	258045508
1069	1	258046577
1071	4	258050861
1072	1	258051933
1073	3	258055152
1074	5	258060522
1075	2	258062672
1076	1	258063748
1077	1	258064825
1078	1	258065903
1079	1	258066982
1080	1	258068062
1082	3	258071308
1083	1	258072391
1084	1	258073475
1085	2	258075645
1086	4	258079989
1088	1	258081077
1089	1	258082166
1091	2	258084348
1092	2	258086532
1093	1	258087625
1094	3	258090907
1095	1	258092002
1097	1	258093099
1098	2	258095295
1099	1	258096394
1100	3	258099694
1102	2	258101898
1104	2	258104106
1105	4	258108526
1106	2	258110738
1107	3	258114059
1108	2	258116275
1109	1	258117384
1110	2	258119604
1112	1	258120716
1114	4	258125172
1115	1	258126287
1116	3	258129635
1117	2	258131869
1119	3	258135226
1121	3	258138589
1122	2	258140833
1123	1	258141956
1126	1	258143082
1128	3	258146466
1129	1	258147595
1130	1	258148725
1131	2	258150987
1132	2	258153251
1133	3	258156650
1135	3	258160055
1136	1	258161191
1138	3	258164605
1139	1	258165744
1140	1	258166884
1142	3	258170310
1143	3	258173739
1144	2	258176027
1145	2	258178317
1146	2	258180609
1147	2	258182903
1148	1	258184051
1149	1	258185200
1151	1	258186351
1153	2	258188657
1154	2	258190965
1155	2	258193275
1158	2	258195591
1159	3	258199068
1160	2	258201388
1161	2	258203710
1162	3	258207196
1163	3	258210685
1165	1	258211850
1168	1	258213018
1169	1	258214187
1170	3	258217697
1171	1	258218868
1172	2	258221212
1173	5	258227077
1174	2	258229425
1175	1	258230600
1176	1	258231776
1178	1	258232954
1179	3	258236491
1180	1	258237671
1181	2	258240033
1182	5	258245943
1183	2	258248309
1184	1	258249493
1186	1	258250679
1188	3	258254243
1189	3	258257810
1190	2	258260190
1191	1	258261381
1192	2	258263765
1193	3	258267344
1194	1	258268538
1195	1	258269733
1197	2	258272127
1198	1	258273325
1199	2	258275723
1200	4	258280523
1201	2	258282925
1202	1	258284127
1204	1	258285331
1205	2	258287741
1208	1	258288949
1209	2	258291367
1210	2	258293787
1212	1	258294999
1213	1	258296212
1214	1	258297426
1216	1	258298642
1217	1	258299859
1218	1	258301077
1219	4	258305953
1220	2	258308393
1221	1	258309614
1222	1	258310836
1223	2	258313282
1224	1	258314506
1226	1	258315732
1227	1	258316959
1228	2	258319415
1230	1	258320645
1231	3	258324338
1233	1	258325571
1234	1	258326805
1236	3	258330513
1238	2	258332989
1239	1	258334228
1240	1	258335468
1242	1	258336710
1243	1	258337953
1245	1	258339198
1246	1	258340444
1247	1	258341691
1248	1	258342939
1249	1	258344188
1250	1	258345438
1251	2	258347940
1252	1	258349192
1253	2	258351698
1255	1	258352953
1256	3	258356721
1257	1	258357978
1258	2	258360494
1259	1	258361753
1261	1	258363014
1262	1	258364276
1264	2	258366804
1265	1	258368069
1266	1	258369335
1267	1	258370602
1268	2	258373138
1271	2	258375680
1273	3	258379499
1274	1	258380773
1276	2	258383325
1279	1	258384604
1281	4	258389728
1282	1	258391010
1284	1	258392294
1286	2	258394866
1287	2	258397440
1288	3	258401304
1289	4	258406460
1290	2	258409040
1291	1	258410331
1293	3	258414210
1294	1	258415504
1295	3	258419389
1296	1	258420685
1300	2	258423285
1302	1	258424587
1304	3	258428499
1305	1	258429804
1306	3	258433722
1309	3	258437649
1313	1	258438962
1314	1	258440276
1315	1	258441591
1316	1	258442907
1317	1	258444224
1318	1	258445542
1319	1	258446861
1320	1	258448181
1321	2	258450823
1324	1	258452147
1325	2	258454797
1327	1	258456124
1328	2	258458780
1330	1	258460110
1331	2	258462772
1332	1	258464104
1336	1	258465440
1337	2	258468114
1338	1	258469452
1340	1	258470792
1342	1	258472134
1343	2	258474820
1346	1	258476166
1347	1	258477513
1348	1	258478861
1349	2	258481559
1351	2	258484261
1353	1	258485614
1357	1	258486971
1359	1	258488330
1361	1	258489691
1369	1	258491060
1370	1	258492430
1371	1	258493801
1372	1	258495173
1373	1	258496546
1375	2	258499296
1376	1	258500672
1378	1	258502050
1379	2	258504808
1382	2	258507572
1383	1	258508955
1384	1	258510339
1385	1	258511724
1388	1	258513112
1391	1	258514503
1398	1	258515901
1403	1	258517304
1404	1	258518708
1406	2	258521520
1407	1	258522927
1408	1	258524335
1409	1	258525744
1410	3	258529974
1411	1	258531385
1412	3	258535621
1413	1	258537034
1414	1	258538448
1417	2	258541282
1418	1	258542700
1420	2	258545540
1422	1	258546962
1423	1	258548385
1425	2	258551235
1428	3	258555519
1429	1	258556948
1430	1	258558378
1431	1	258559809
1432	1	258561241
1437	2	258564115
1438	1	258565553
1439	2	258568431
1440	2	258571311
1442	1	258572753
1443	1	258574196
1448	1	258575644
1449	1	258577093
1452	1	258578545
1455	1	258580000
1459	1	258581459
1460	1	258582919
1461	1	258584380
1462	1	258585842
1464	1	258587306
1465	1	258588771
1467	1	258590238
1468	1	258591706
1470	1	258593176
1472	1	258594648
1475	1	258596123
1476	1	258597599
1481	1	258599080
1483	2	258602046
1484	1	258603530
1486	1	258605016
1487	3	258609477
1488	2	258612453
1489	1	258613942
1490	1	258615432
1492	1	258616924
1493	1	258618417
1494	1	258619911
1495	1	258621406
1496	1	258622902
1498	1	258624400
1499	1	258625899
1500	1	258627399
1507	2	258630413
1511	2	258633435
1513	2	258636461
1515	3	258641006
1518	1	258642524
1520	1	258644044
1521	1	258645565
1526	1	258647091
1528	1	258648619
1531	2	258651681
1533	1	258653214
1535	1	258654749
1540	1	258656289
1541	2	258659371
1544	1	258660915
1545	1	258662460
1546	2	258665552
1557	1	258667109
1558	1	258668667
1559	1	258670226
1560	1	258671786
1561	1	258673347
1562	1	258674909
1564	3	258679601
1566	1	258681167
1568	1	258682735
1569	1	258684304
1572	1	258685876
1574	1	258687450
1581	1	258689031
1585	1	258690616
1586	1	258692202
1587	1	258693789
1589	1	258695378
1590	1	258696968
1591	1	258698559
1592	1	258700151
1594	2	258703339
1597	3	258708130
1598	2	258711326
1601	1	258712927
1603	1	258714530
1604	1	258716134
1606	2	258719346
1609	2	258722564
1611	1	258724175
1612	1	258725787
1614	1	258727401
1615	2	258730631
1625	2	258733881
1638	2	258737157
1639	1	258738796
1640	1	258740436
1641	2	258743718
1642	1	258745360
1643	1	258747003
1646	2	258750295
1650	2	258753595
1651	1	258755246
1654	3	258760208
1658	2	258763524
1659	1	258765183
1660	2	258768503
1661	1	258770164
1663	1	258771827
1664	1	258773491
1668	2	258776827
1670	1	258778497
1671	1	258780168
1673	1	258781841
1675	1	258783516
1679	1	258785195
1685	1	258786880
1692	1	258788572
1698	2	258791968
1701	2	258795370
1709	1	258797079
1716	1	258798795
1717	1	258800512
1718	2	258803948
1719	1	258805667
1721	2	258809109
1722	1	258810831
1724	1	258812555
1726	1	258814281
