Reading input files
Number of loci: 6978
Number of admixed populations: 1
Number of individuals: 10
Allowing for uncertainty in allele counts
mcmc iteration: 57000 ........ LnL: -64628.6
mcmc iteration: 58000 ........ LnL: -64679.4
mcmc iteration: 59000 ........ LnL: -64694.2
mcmc iteration: 60000 ........ LnL: -64707.6
mcmc iteration: 61000 ........ LnL: -64561.1
mcmc iteration: 62000 ........ LnL: -64617.9
mcmc iteration: 63000 ........ LnL: -64717.4
mcmc iteration: 64000 ........ LnL: -64556.5
mcmc iteration: 65000 ........ LnL: -64712.1
mcmc iteration: 66000 ........ LnL: -64752
mcmc iteration: 67000 ........ LnL: -64665.3
mcmc iteration: 68000 ........ LnL: -64819.8
mcmc iteration: 69000 ........ LnL: -64758.8
mcmc iteration: 70000 ........ LnL: -65068.8
mcmc iteration: 71000 ........ LnL: -64643.3
mcmc iteration: 72000 ........ LnL: -64795.6
mcmc iteration: 73000 ........ LnL: -64723.8
mcmc iteration: 74000 ........ LnL: -64819.9
mcmc iteration: 75000 ........ LnL: -64911.1
mcmc iteration: 76000 ........ LnL: -64526.8
mcmc iteration: 77000 ........ LnL: -64663.5
mcmc iteration: 78000 ........ LnL: -64646.7
mcmc iteration: 79000 ........ LnL: -64798.7
mcmc iteration: 80000 ........ LnL: -64632.4
mcmc iteration: 81000 ........ LnL: -64806.1
mcmc iteration: 82000 ........ LnL: -64812.9
mcmc iteration: 83000 ........ LnL: -64697.2
mcmc iteration: 84000 ........ LnL: -64925.7
mcmc iteration: 85000 ........ LnL: -64750.3
mcmc iteration: 86000 ........ LnL: -64606.5
mcmc iteration: 87000 ........ LnL: -64876.5
mcmc iteration: 88000 ........ LnL: -64700.6
mcmc iteration: 89000 ........ LnL: -64843.9
mcmc iteration: 90000 ........ LnL: -64678.6
mcmc iteration: 91000 ........ LnL: -64754.7
mcmc iteration: 92000 ........ LnL: -64571.5
mcmc iteration: 93000 ........ LnL: -64572.5
mcmc iteration: 94000 ........ LnL: -65061.9
mcmc iteration: 95000 ........ LnL: -64697.8
mcmc iteration: 96000 ........ LnL: -64684.3
mcmc iteration: 97000 ........ LnL: -64677.3
mcmc iteration: 98000 ........ LnL: -64508.8
mcmc iteration: 99000 ........ LnL: -64943.6
mcmc iteration: 100000 ........ LnL: -64777.3
mcmc iteration: 101000 ........ LnL: -64883.6
mcmc iteration: 102000 ........ LnL: -64764.2
mcmc iteration: 103000 ........ LnL: -64742
mcmc iteration: 104000 ........ LnL: -64881
mcmc iteration: 105000 ........ LnL: -64660.7
mcmc iteration: 106000 ........ LnL: -64651.6
mcmc iteration: 107000 ........ LnL: -64694.7
mcmc iteration: 108000 ........ LnL: -64708.8
mcmc iteration: 109000 ........ LnL: -64499.6
mcmc iteration: 110000 ........ LnL: -64750.9
mcmc iteration: 111000 ........ LnL: -64766.1
mcmc iteration: 112000 ........ LnL: -64557.8
mcmc iteration: 113000 ........ LnL: -64796.8
mcmc iteration: 114000 ........ LnL: -64737.9
mcmc iteration: 115000 ........ LnL: -64884.2
mcmc iteration: 116000 ........ LnL: -64746.4
mcmc iteration: 117000 ........ LnL: -64643
mcmc iteration: 118000 ........ LnL: -64524.1
mcmc iteration: 119000 ........ LnL: -64712.7
mcmc iteration: 120000 ........ LnL: -64552.8
mcmc iteration: 121000 ........ LnL: -64655.1
mcmc iteration: 122000 ........ LnL: -64794
mcmc iteration: 123000 ........ LnL: -64634.9
mcmc iteration: 124000 ........ LnL: -64593.3
mcmc iteration: 125000 ........ LnL: -64768.6
mcmc iteration: 126000 ........ LnL: -64874.2
mcmc iteration: 127000 ........ LnL: -64584.4
mcmc iteration: 128000 ........ LnL: -64789.7
mcmc iteration: 129000 ........ LnL: -64785.2
mcmc iteration: 130000 ........ LnL: -64619.4
mcmc iteration: 131000 ........ LnL: -64742.7
mcmc iteration: 132000 ........ LnL: -64656.1
mcmc iteration: 133000 ........ LnL: -64859.9
mcmc iteration: 134000 ........ LnL: -64830.1
mcmc iteration: 135000 ........ LnL: -64710.1
mcmc iteration: 136000 ........ LnL: -64678.4
mcmc iteration: 137000 ........ LnL: -64837.9
mcmc iteration: 138000 ........ LnL: -64733.6
mcmc iteration: 139000 ........ LnL: -64699.5
mcmc iteration: 140000 ........ LnL: -64698.5
mcmc iteration: 141000 ........ LnL: -64896.9
mcmc iteration: 142000 ........ LnL: -64645.2
mcmc iteration: 143000 ........ LnL: -64644.6
mcmc iteration: 144000 ........ LnL: -64454
mcmc iteration: 145000 ........ LnL: -64561.6
mcmc iteration: 146000 ........ LnL: -64681
mcmc iteration: 147000 ........ LnL: -64600.9
mcmc iteration: 148000 ........ LnL: -64603.5
mcmc iteration: 149000 ........ LnL: -64654.3
mcmc iteration: 150000 ........ LnL: -64716.2
mcmc iteration: 151000 ........ LnL: -65057.3
mcmc iteration: 152000 ........ LnL: -64794
mcmc iteration: 153000 ........ LnL: -64586
mcmc iteration: 154000 ........ LnL: -64825.5
mcmc iteration: 155000 ........ LnL: -64825.8
mcmc iteration: 156000 ........ LnL: -64659.3
mcmc iteration: 157000 ........ LnL: -64693.4
mcmc iteration: 158000 ........ LnL: -64625.6
mcmc iteration: 159000 ........ LnL: -64723.5
mcmc iteration: 160000 ........ LnL: -64768
mcmc iteration: 161000 ........ LnL: -64632.1
mcmc iteration: 162000 ........ LnL: -64756.4
mcmc iteration: 163000 ........ LnL: -64730.1
mcmc iteration: 164000 ........ LnL: -64602
mcmc iteration: 165000 ........ LnL: -64723.4
mcmc iteration: 166000 ........ LnL: -64503
mcmc iteration: 167000 ........ LnL: -64745.8
mcmc iteration: 168000 ........ LnL: -64900
mcmc iteration: 169000 ........ LnL: -64794.7
mcmc iteration: 170000 ........ LnL: -64482.2
mcmc iteration: 171000 ........ LnL: -64608.6
mcmc iteration: 172000 ........ LnL: -64729
mcmc iteration: 173000 ........ LnL: -64751.6
mcmc iteration: 174000 ........ LnL: -64404.5
mcmc iteration: 175000 ........ LnL: -64828.1
mcmc iteration: 176000 ........ LnL: 
